Gender,EHP,credit_history,Experience,annual_claims,Marital_Status,type,Miles,size,credit,,target
M,120,689,8,0,Married,Truck,7411,5,Good,,1
M,84,783,18,1,Married,Truck,8081,3,Very Good,,1
M,153,628,4,3,Single,Car,84879,8,Fair,,1
M,250,647,3,1,Married,Car,10189,3,Fair,,1
M,453,366,1,2,Single,Utility,21049,3,Very Poor,,0
M,118,708,12,0,Married,Utility,7697,3,Good,,1
M,271,618,5,1,Married,Car,12240,3,Fair,,1
F,154,773,24,1,Married,Car,12067,2,Very Good,,0
M,154,615,2,3,Single,Car,82075,1,Fair,,1
F,177,389,6,2,Single,Van,13846,1,Very Poor,,0
M,135,688,13,0,Single,Utility,7022,6,Good,,0
F,85,673,1,0,Married,Truck,12441,6,Good,,1
M,122,799,32,0,Married,Utility,5226,4,Very Good,,1
F,83,729,13,0,Married,Car,62711,2,Good,,1
F,93,768,1,0,Married,Car,21940,5,Very Good,,1
M,89,751,8,0,Single,Utility,12659,2,Very Good,,0
F,101,778,16,3,Married,Truck,15742,4,Very Good,,0
M,96,379,5,3,Married,Truck,22730,8,Very Poor,,0
F,301,504,8,2,Single,Truck,21202,7,Very Poor,,0
M,99,743,30,1,Married,Truck,5295,3,Very Good,,1
M,106,778,24,1,Married,Van,9020,3,Very Good,,1
F,117,744,17,1,Married,Car,9949,5,Very Good,,1
M,80,750,10,1,Single,Utility,7817,4,Very Good,,1
F,500,379,8,2,Single,Van,12901,8,Very Poor,,1
F,104,732,10,0,Married,Car,30654,3,Good,,1
F,136,676,26,0,Married,Car,7307,4,Good,,1
F,645,700,1,0,Married,Truck,16334,5,Good,,1
F,123,671,17,1,Married,Car,5853,1,Good,,1
F,125,677,14,0,Married,Car,12769,1,Good,,1
F,209,352,7,2,Single,Truck,12645,5,Very Poor,,1
F,107,788,24,3,Married,Truck,5541,2,Very Good,,1
M,314,682,8,1,Married,Van,58125,5,Good,,0
F,258,724,9,0,Married,Car,12654,3,Good,,1
F,93,793,19,0,Married,Truck,21613,1,Very Good,,1
F,105,714,28,0,Single,Car,7862,4,Good,,1
F,487,653,8,2,Single,Truck,11572,2,Fair,,1
F,405,620,7,2,Single,Truck,12670,5,Fair,,1
M,154,697,20,0,Married,Utility,5355,1,Good,,1
F,101,751,11,0,Single,Car,14319,4,Very Good,,1
F,150,757,29,1,Married,Truck,14733,2,Very Good,,0
F,139,683,15,0,Single,Car,9019,5,Good,,1
F,380,586,5,3,Single,Truck,14762,2,Fair,,1
M,95,708,26,0,Married,Van,9855,6,Good,,1
M,182,732,2,2,Single,Car,24269,2,Good,,1
M,107,815,25,0,Single,Utility,14529,3,Exceptional,,0
M,96,766,8,1,Single,Utility,7827,7,Very Good,,1
M,237,532,2,2,Single,Car,11116,1,Very Poor,,0
F,123,791,16,0,Married,Truck,6844,1,Very Good,,1
M,108,767,18,0,Single,Utility,6975,7,Very Good,,1
M,99,739,13,1,Married,Utility,12080,3,Good,,0
F,400,715,24,1,Married,Car,20219,5,Good,,1
M,152,757,9,0,Married,Truck,9779,8,Very Good,,0
M,97,308,5,3,Married,Truck,10383,5,Very Poor,,0
M,92,737,24,0,Married,Truck,13952,8,Good,,1
M,215,713,5,0,Married,Van,76849,5,Good,,1
F,102,726,22,0,Married,Car,6332,8,Good,,1
M,136,769,11,0,Married,Van,14930,1,Very Good,,0
F,175,634,7,0,Single,Van,13368,6,Fair,,1
M,81,559,8,0,Married,Van,36937,1,Very Poor,,0
F,180,323,7,3,Single,Van,24679,1,Very Poor,,1
M,207,685,2,1,Married,Car,11074,8,Good,,0
F,111,791,7,0,Married,Car,23437,3,Very Good,,1
F,349,319,7,2,Single,Truck,12572,3,Very Poor,,1
F,116,795,20,0,Married,Car,13353,3,Very Good,,0
F,297,409,6,3,Single,Utility,18418,5,Very Poor,,1
F,303,401,5,2,Single,Utility,12443,5,Very Poor,,1
M,100,751,12,1,Married,Van,6028,5,Very Good,,0
M,156,466,6,3,Married,Truck,22168,8,Very Poor,,1
F,408,478,5,2,Single,Truck,14887,7,Very Poor,,1
M,158,789,21,1,Single,Utility,12804,5,Very Good,,0
F,119,762,22,1,Married,Car,5698,1,Very Good,,1
M,123,825,21,0,Single,Utility,9827,4,Exceptional,,1
M,81,537,3,1,Married,Truck,71925,4,Very Poor,,1
F,87,750,20,1,Married,Truck,9421,3,Very Good,,1
M,293,611,1,2,Married,Car,32794,1,Fair,,1
M,126,675,10,0,Single,Utility,5048,4,Good,,1
F,288,614,6,0,Single,Truck,11821,6,Fair,,1
M,92,781,11,0,Married,Utility,5417,1,Very Good,,1
F,154,719,17,1,Married,Car,12022,3,Good,,0
M,386,462,3,3,Married,Car,14847,3,Very Poor,,0
M,116,759,24,1,Married,Van,6579,6,Very Good,,0
F,491,692,36,1,Married,Truck,8662,1,Good,,1
F,264,585,7,0,Single,Truck,13371,2,Fair,,1
F,113,789,3,0,Married,Car,13154,7,Very Good,,0
M,86,688,25,0,Single,Utility,11908,6,Good,,1
F,627,682,9,0,Married,Car,18561,5,Good,,1
M,95,699,14,1,Married,Van,63466,4,Good,,1
M,90,685,15,0,Married,Van,10101,2,Good,,0
F,83,321,8,1,Married,Car,65489,1,Very Poor,,0
M,432,596,1,0,Married,Truck,6449,7,Fair,,1
F,132,793,19,1,Single,Car,7180,8,Very Good,,1
M,447,654,3,0,Married,Van,13139,7,Fair,,0
F,130,783,15,0,Married,Car,11894,2,Very Good,,0
M,478,645,5,1,Married,Car,14649,5,Fair,,1
M,106,687,24,1,Married,Car,12017,1,Good,,0
M,153,709,28,0,Married,Truck,9653,6,Good,,0
M,83,691,5,0,Single,Utility,5478,2,Good,,0
M,169,675,4,2,Single,Car,13294,6,Good,,0
M,146,683,14,1,Married,Van,5414,3,Good,,1
M,132,421,1,3,Single,Car,12305,1,Very Poor,,1
M,440,695,4,1,Married,Car,12906,8,Good,,0
F,104,672,22,0,Married,Car,14672,8,Good,,1
M,364,610,2,1,Married,Car,25670,5,Fair,,0
M,157,686,19,0,Married,Truck,10277,4,Good,,0
F,443,666,8,3,Single,Truck,11164,8,Fair,,1
F,143,672,23,2,Married,Car,5042,3,Good,,0
M,159,758,17,1,Married,Van,11911,8,Very Good,,1
F,394,591,5,0,Married,Car,9172,7,Fair,,1
M,114,730,20,0,Married,Van,11844,4,Good,,0
M,85,689,20,0,Married,Truck,10084,8,Good,,1
M,119,707,19,0,Married,Van,13799,5,Good,,1
F,121,745,15,0,Married,Car,9178,6,Very Good,,0
F,666,762,5,1,Married,Truck,10416,5,Very Good,,0
M,468,495,4,2,Married,Car,14782,5,Very Poor,,1
F,179,489,7,3,Single,Van,13974,5,Very Poor,,0
M,184,670,4,2,Single,Car,11529,4,Good,,1
F,253,738,6,1,Married,Car,71430,3,Good,,1
F,435,691,6,3,Single,Truck,12331,6,Good,,0
F,126,638,6,2,Single,Van,48426,8,Fair,,1
F,127,689,19,0,Married,Car,8685,6,Good,,1
F,118,736,6,1,Single,Car,58173,5,Good,,0
F,104,781,17,1,Single,Car,11114,3,Very Good,,1
F,84,507,5,0,Single,Car,40282,5,Very Poor,,1
M,383,644,2,3,Married,Car,69612,5,Fair,,1
F,427,736,36,0,Married,Truck,10173,2,Good,,1
F,122,726,19,0,Single,Car,10094,3,Good,,1
M,118,816,18,1,Single,Utility,5985,6,Exceptional,,1
M,107,643,3,2,Single,Car,86878,2,Fair,,1
M,446,422,2,1,Married,Car,14174,6,Very Poor,,1
M,161,511,8,2,Married,Truck,13553,3,Very Poor,,1
M,94,778,39,4,Single,Utility,6639,2,Very Good,,0
F,108,740,38,0,Married,Truck,7779,5,Very Good,,1
M,101,705,1,3,Single,Car,24601,7,Good,,1
F,399,696,6,2,Single,Truck,12990,3,Good,,1
M,105,556,1,3,Single,Car,10832,5,Very Poor,,1
M,126,672,17,4,Single,Utility,10138,7,Good,,1
M,107,418,5,3,Single,Car,12073,5,Very Poor,,0
F,230,529,2,0,Married,Truck,55116,7,Very Poor,,1
M,100,306,6,2,Married,Truck,12414,4,Very Poor,,1
M,125,710,25,1,Married,Car,6493,6,Good,,0
M,94,798,18,0,Married,Van,11031,4,Very Good,,0
F,332,639,7,0,Single,Truck,12406,4,Fair,,1
F,410,583,8,2,Single,Truck,14450,4,Fair,,1
M,114,772,18,0,Single,Utility,10441,2,Very Good,,1
M,245,522,3,1,Married,Van,52474,6,Very Poor,,1
M,151,445,3,3,Single,Car,16575,3,Very Poor,,1
F,114,689,10,1,Married,Truck,71076,1,Good,,0
M,424,448,5,2,Married,Car,13230,7,Very Poor,,1
F,126,758,20,0,Married,Car,14469,8,Very Good,,1
M,389,656,4,0,Single,Car,11802,8,Fair,,0
M,164,439,7,2,Married,Truck,12074,7,Very Poor,,1
F,111,672,13,1,Married,Car,6017,7,Good,,0
M,415,675,1,2,Married,Car,14857,8,Good,,1
M,82,673,27,1,Married,Van,11713,6,Good,,1
F,435,599,5,3,Single,Van,18451,5,Fair,,1
F,157,765,19,0,Married,Car,7908,7,Very Good,,1
F,104,737,11,0,Married,Truck,11294,1,Good,,1
M,90,716,21,1,Married,Van,14783,5,Good,,0
F,123,783,36,0,Married,Car,6199,7,Very Good,,1
M,87,762,32,1,Married,Van,6293,5,Very Good,,1
F,122,684,2,0,Married,Truck,5404,6,Good,,1
F,106,784,9,1,Single,Car,7037,8,Very Good,,1
M,179,665,8,4,Married,Truck,13730,4,Fair,,0
F,110,710,13,1,Married,Truck,8219,4,Good,,1
M,102,741,17,0,Married,Truck,12313,8,Very Good,,0
M,101,725,6,0,Single,Utility,14248,5,Good,,1
M,143,778,31,0,Married,Van,8641,3,Very Good,,1
M,124,783,30,4,Single,Utility,12722,2,Very Good,,0
F,98,698,19,0,Married,Truck,13975,2,Good,,1
M,440,708,4,3,Married,Car,11951,3,Good,,1
M,157,732,20,0,Married,Utility,9906,3,Good,,0
M,155,779,25,0,Single,Utility,11967,8,Very Good,,1
F,125,724,5,0,Married,Car,34728,4,Good,,1
M,81,798,25,1,Married,Truck,6520,6,Very Good,,0
F,99,672,7,2,Single,Van,12120,2,Good,,1
M,152,726,16,0,Married,Truck,7659,1,Good,,1
M,88,783,21,0,Married,Van,14516,3,Very Good,,1
F,157,758,22,3,Married,Truck,22816,6,Very Good,,1
F,143,729,18,1,Married,Car,8136,8,Good,,1
F,103,741,15,1,Married,Car,6740,4,Very Good,,1
F,400,591,7,2,Single,Truck,11614,4,Fair,,0
F,138,716,10,0,Married,Car,12758,2,Good,,0
F,102,720,21,1,Married,Car,12877,8,Good,,1
F,112,791,10,1,Married,Car,13495,6,Very Good,,0
F,344,382,1,1,Married,Car,73053,5,Very Poor,,1
F,324,581,5,0,Single,Van,12580,6,Fair,,1
F,159,671,7,1,Married,Car,57773,7,Good,,1
F,489,721,5,3,Single,Truck,10577,1,Good,,1
M,107,711,5,0,Married,Truck,57981,4,Good,,1
M,114,766,5,0,Married,Van,11026,6,Very Good,,1
M,159,726,38,0,Single,Utility,6145,5,Good,,1
M,228,586,4,0,Single,Utility,11896,7,Fair,,1
F,126,687,25,0,Married,Car,14501,3,Good,,1
M,86,796,28,1,Married,Van,11598,7,Very Good,,1
M,126,691,25,0,Married,Van,10274,1,Good,,0
F,190,606,6,1,Single,Van,13969,8,Fair,,1
M,81,792,28,0,Married,Van,14567,2,Very Good,,0
F,112,746,25,0,Married,Car,22201,4,Very Good,,0
F,100,680,17,2,Married,Car,10113,1,Good,,1
M,498,717,3,2,Married,Car,11262,2,Good,,0
F,127,697,19,0,Married,Car,9815,2,Good,,1
M,428,643,4,3,Married,Car,24996,5,Fair,,1
F,146,679,29,0,Married,Car,20922,4,Good,,1
M,159,648,5,3,Married,Truck,64274,3,Fair,,0
M,88,758,21,0,Married,Van,5155,5,Very Good,,0
F,133,670,17,1,Married,Car,8303,5,Good,,0
M,152,690,24,0,Married,Truck,9921,2,Good,,0
M,512,700,39,1,Married,Truck,7475,8,Good,,1
F,157,790,23,0,Married,Truck,19980,5,Very Good,,0
F,585,699,15,0,Married,Car,22144,6,Good,,1
F,82,705,17,1,Married,Truck,7035,2,Good,,0
F,235,581,8,0,Single,Van,10054,7,Fair,,1
F,118,769,26,3,Married,Truck,11524,8,Very Good,,1
F,236,413,5,2,Single,Truck,13660,3,Very Poor,,0
F,100,697,22,1,Married,Car,5305,4,Good,,1
M,118,706,13,1,Married,Van,8537,7,Good,,1
F,451,825,6,3,Single,Truck,24680,6,Exceptional,,1
F,176,653,8,0,Single,Van,10656,1,Fair,,0
M,195,736,4,2,Single,Car,14615,1,Good,,1
F,140,682,36,1,Married,Car,6729,7,Good,,1
F,180,695,5,0,Married,Truck,30489,7,Good,,0
F,84,676,14,1,Married,Car,29040,2,Good,,0
F,80,707,17,1,Single,Car,6833,3,Good,,1
F,128,740,10,0,Single,Car,6569,6,Very Good,,0
M,89,687,23,0,Married,Van,9875,7,Good,,0
M,121,742,13,0,Married,Truck,10680,2,Very Good,,1
M,80,758,15,0,Single,Utility,12033,6,Very Good,,1
M,135,418,6,3,Married,Truck,12449,5,Very Poor,,1
M,159,744,13,1,Single,Utility,6750,3,Very Good,,1
M,286,547,1,2,Married,Car,20516,4,Very Poor,,1
F,248,730,3,1,Single,Car,82250,6,Good,,0
M,186,681,4,2,Single,Car,11300,8,Good,,0
F,94,682,5,1,Married,Truck,7713,5,Good,,1
F,149,763,16,0,Single,Car,13073,7,Very Good,,1
F,125,693,13,1,Married,Truck,8687,2,Good,,0
M,100,850,8,3,Married,Truck,22917,7,Exceptional,,0
F,134,725,28,0,Married,Car,7424,3,Good,,0
F,357,710,20,0,Married,Truck,23337,5,Good,,1
F,107,686,35,1,Married,Car,12593,7,Good,,0
F,98,697,22,2,Married,Car,14982,3,Good,,1
M,111,678,35,1,Married,Van,7292,5,Good,,1
F,94,707,23,1,Married,Car,9247,6,Good,,1
M,104,678,15,0,Married,Truck,13996,6,Good,,1
M,148,769,12,1,Married,Truck,8677,8,Very Good,,0
M,93,752,10,1,Married,Utility,9644,3,Very Good,,1
M,112,690,13,0,Married,Utility,7471,7,Good,,0
F,119,701,15,0,Married,Car,7488,8,Good,,0
M,108,706,26,1,Single,Utility,14443,3,Good,,1
F,158,682,9,2,Married,Car,7907,8,Good,,0
F,128,670,15,1,Married,Truck,8388,4,Good,,1
M,106,675,13,1,Married,Van,8420,2,Good,,1
M,154,738,16,1,Married,Van,5028,6,Good,,0
F,299,714,3,1,Single,Car,49056,7,Good,,1
M,90,757,12,4,Single,Utility,6871,6,Very Good,,1
M,108,717,5,2,Married,Truck,12783,3,Good,,1
M,220,616,4,1,Married,Car,14376,5,Fair,,1
M,159,700,7,1,Single,Utility,12078,6,Good,,1
M,245,640,5,1,Married,Car,11045,1,Fair,,1
M,253,678,3,3,Single,Utility,10251,4,Good,,1
F,96,798,13,0,Single,Car,14599,7,Very Good,,1
F,150,683,28,0,Single,Car,10002,8,Good,,1
F,148,772,40,0,Married,Car,6944,8,Very Good,,1
M,159,777,17,0,Married,Van,13156,8,Very Good,,1
F,118,759,3,1,Married,Truck,5219,5,Very Good,,0
M,143,728,19,4,Single,Utility,10681,4,Good,,1
F,156,756,5,0,Married,Truck,8520,7,Very Good,,1
M,143,797,11,1,Married,Van,13599,4,Very Good,,1
M,158,691,4,2,Single,Car,11421,3,Good,,1
F,185,711,3,1,Single,Car,73342,2,Good,,1
M,135,787,5,0,Married,Van,6416,1,Very Good,,1
M,583,758,4,1,Married,Truck,14658,1,Very Good,,1
M,376,460,3,3,Married,Car,13759,6,Very Poor,,0
F,361,686,8,2,Single,Truck,12256,1,Good,,1
F,81,712,36,0,Single,Car,12453,3,Good,,1
M,119,850,11,4,Single,Utility,6615,2,Exceptional,,1
F,118,648,5,3,Single,Van,43159,1,Fair,,1
M,80,701,10,1,Single,Utility,5625,5,Good,,1
F,130,724,6,3,Single,Van,13267,6,Good,,0
M,80,782,25,0,Married,Van,6721,8,Very Good,,1
M,111,675,9,1,Married,Van,8473,1,Good,,0
F,111,723,20,0,Married,Car,13172,4,Good,,0
F,388,708,6,3,Single,Truck,13638,7,Good,,0
F,149,753,6,1,Married,Car,8424,7,Very Good,,0
F,138,797,20,3,Married,Truck,16809,7,Very Good,,1
M,495,610,3,0,Married,Car,12566,7,Fair,,1
M,111,680,25,1,Married,Van,8085,3,Good,,1
M,127,790,21,0,Single,Utility,6150,3,Very Good,,0
F,673,681,37,0,Married,Car,13812,2,Good,,1
F,98,674,18,1,Married,Car,12630,5,Good,,1
M,143,721,21,0,Married,Truck,6357,7,Good,,1
M,152,777,6,1,Married,Utility,7154,2,Very Good,,1
F,127,782,14,0,Married,Car,19490,3,Very Good,,0
M,374,727,1,2,Married,Car,14068,3,Good,,1
M,136,716,18,0,Married,Utility,8428,7,Good,,0
M,141,677,7,0,Married,Van,37789,7,Good,,1
F,102,690,7,0,Single,Car,6210,6,Good,,1
F,355,583,3,3,Single,Truck,12332,6,Fair,,1
M,199,545,1,3,Single,Car,13285,2,Very Poor,,1
F,471,461,8,3,Single,Truck,10132,3,Very Poor,,1
M,452,369,2,2,Married,Car,13681,2,Very Poor,,1
M,141,726,19,1,Married,Van,6920,2,Good,,1
M,145,788,10,0,Married,Van,14892,3,Very Good,,1
F,111,735,29,1,Single,Car,11696,1,Good,,1
F,316,584,7,1,Single,Utility,13403,8,Fair,,0
F,95,683,4,1,Married,Car,31241,7,Good,,0
M,85,716,19,0,Married,Van,5094,3,Good,,1
F,135,779,31,0,Married,Truck,11835,3,Very Good,,0
F,122,741,10,0,Married,Car,9772,2,Very Good,,1
F,300,339,7,2,Single,Truck,12364,8,Very Poor,,1
F,123,692,9,1,Married,Truck,45817,8,Good,,1
M,93,727,14,0,Married,Utility,9727,7,Good,,1
M,104,671,32,1,Married,Van,11229,5,Good,,1
M,129,743,15,1,Married,Van,9932,6,Very Good,,1
F,147,686,19,1,Married,Car,16323,1,Good,,1
F,86,786,14,1,Married,Truck,11705,4,Very Good,,1
F,245,674,5,1,Married,Car,71509,7,Good,,1
F,622,735,24,0,Married,Car,20670,4,Good,,1
M,219,551,1,3,Married,Car,10307,1,Very Poor,,1
F,138,701,14,0,Married,Car,52676,4,Good,,1
M,233,509,2,2,Married,Car,14878,7,Very Poor,,1
M,120,500,14,3,Married,Truck,12862,5,Very Poor,,1
M,94,772,25,1,Married,Van,9747,5,Very Good,,1
M,150,769,14,1,Married,Van,10087,3,Very Good,,1
F,112,729,18,1,Married,Car,7093,1,Good,,0
M,140,687,37,0,Married,Truck,12705,3,Good,,1
M,120,732,20,1,Single,Utility,6385,5,Good,,1
M,99,795,18,1,Married,Van,11713,8,Very Good,,0
F,656,678,6,1,Married,Car,23696,7,Good,,0
M,85,689,15,1,Married,Van,14751,5,Good,,1
F,148,696,25,2,Married,Car,5751,7,Good,,1
M,276,690,5,3,Married,Car,12829,4,Good,,1
M,91,650,6,2,Married,Truck,39145,6,Fair,,1
M,88,578,6,0,Married,Utility,87360,5,Very Poor,,1
M,121,767,21,1,Married,Van,13675,8,Very Good,,1
M,109,672,18,0,Married,Van,10067,8,Good,,1
F,120,754,11,3,Married,Truck,17264,3,Very Good,,1
M,133,703,21,1,Married,Van,7794,6,Good,,1
M,141,684,36,1,Married,Van,7452,5,Good,,0
F,100,783,5,0,Married,Car,14946,2,Very Good,,0
F,678,674,23,0,Married,Car,16132,4,Good,,0
F,423,601,6,2,Single,Truck,10263,4,Fair,,1
F,169,360,1,1,Married,Car,89696,2,Very Poor,,1
F,472,702,7,3,Single,Truck,13267,8,Good,,1
M,258,667,3,0,Single,Utility,13703,5,Fair,,1
M,91,681,22,1,Married,Van,5392,3,Good,,1
F,326,547,2,0,Married,Truck,41406,5,Very Poor,,1
M,91,770,8,0,Married,Van,13576,1,Very Good,,1
F,296,616,8,0,Single,Utility,12378,4,Fair,,1
F,125,752,3,0,Married,Truck,21084,8,Very Good,,1
M,124,756,16,0,Married,Van,7443,3,Very Good,,1
F,210,591,5,0,Single,Truck,10061,2,Fair,,0
M,106,692,13,1,Married,Utility,14090,5,Good,,0
F,219,690,5,2,Single,Truck,10071,3,Good,,0
M,155,487,2,2,Single,Car,14019,1,Very Poor,,1
M,141,690,6,1,Married,Van,13054,7,Good,,1
M,209,733,1,3,Married,Car,12222,8,Good,,1
F,104,625,7,2,Single,Van,63214,3,Fair,,1
F,197,690,6,1,Married,Car,81271,1,Good,,0
F,308,644,7,0,Single,Truck,12353,8,Fair,,1
F,217,739,7,2,Single,Truck,10210,6,Good,,1
M,199,642,1,2,Single,Car,40071,6,Fair,,1
M,149,486,8,4,Married,Truck,12292,3,Very Poor,,1
F,539,670,6,0,Married,Car,23041,7,Good,,1
F,135,756,30,1,Married,Car,15703,8,Very Good,,1
M,530,772,7,1,Married,Truck,11909,4,Very Good,,0
M,157,727,19,1,Married,Truck,7835,2,Good,,1
M,497,677,3,3,Single,Utility,14113,5,Good,,1
F,402,710,8,2,Single,Truck,10492,3,Good,,0
F,149,775,17,1,Married,Car,17537,1,Very Good,,1
F,100,671,24,1,Married,Car,10041,2,Good,,1
M,353,429,4,3,Married,Car,12805,1,Very Poor,,1
F,676,730,37,1,Married,Car,10428,4,Good,,1
M,136,783,15,0,Married,Truck,10066,2,Very Good,,1
M,137,692,5,0,Married,Van,35641,1,Good,,1
F,153,678,10,0,Married,Car,5521,1,Good,,1
M,138,768,12,0,Single,Utility,5055,2,Very Good,,1
M,92,752,5,1,Single,Utility,5647,1,Very Good,,1
F,420,621,5,2,Single,Utility,12208,6,Fair,,1
M,106,756,10,0,Married,Van,9581,8,Very Good,,1
M,142,716,31,1,Married,Truck,8357,7,Good,,1
M,144,690,22,1,Single,Utility,12585,4,Good,,1
F,321,736,7,0,Married,Car,86492,4,Good,,1
M,103,697,32,1,Married,Van,13265,3,Good,,1
M,134,791,18,0,Married,Van,14581,6,Very Good,,0
M,108,705,14,0,Married,Van,8074,3,Good,,1
F,81,706,13,0,Married,Car,50858,2,Good,,1
M,101,712,10,1,Married,Truck,93164,4,Good,,1
M,107,778,37,1,Married,Van,11272,1,Very Good,,1
M,124,543,8,2,Married,Truck,13583,4,Very Poor,,0
M,114,798,11,1,Single,Utility,6723,8,Very Good,,0
F,643,692,35,0,Married,Car,5331,7,Good,,0
F,123,687,7,1,Married,Truck,6099,6,Good,,1
F,265,669,6,0,Single,Truck,13651,3,Fair,,1
M,158,684,9,0,Married,Truck,11402,2,Good,,1
F,359,313,6,3,Single,Truck,10262,7,Very Poor,,1
M,343,660,5,1,Married,Car,23576,5,Fair,,1
F,124,761,10,0,Married,Truck,6768,2,Very Good,,0
F,156,781,16,1,Married,Car,6397,7,Very Good,,1
F,507,752,5,0,Married,Car,5955,5,Very Good,,1
M,289,593,1,3,Single,Car,75925,2,Fair,,0
F,134,692,8,1,Married,Truck,28297,4,Good,,0
M,116,676,35,1,Married,Van,11042,7,Good,,1
F,125,791,13,1,Married,Truck,5924,2,Very Good,,1
M,132,776,15,1,Married,Utility,14400,3,Very Good,,0
M,138,770,17,1,Married,Van,13283,2,Very Good,,0
M,126,730,7,1,Married,Truck,66803,5,Good,,1
M,161,373,5,4,Married,Truck,14176,2,Very Poor,,1
F,124,765,1,1,Married,Car,16839,2,Very Good,,0
M,152,791,39,1,Married,Van,7211,4,Very Good,,0
M,97,580,6,3,Married,Truck,67799,8,Fair,,1
F,158,710,8,0,Married,Car,71822,7,Good,,0
F,106,792,5,3,Married,Truck,19687,2,Very Good,,0
M,423,468,4,2,Married,Car,16067,1,Very Poor,,0
F,125,643,8,3,Single,Van,71513,1,Fair,,1
M,244,694,2,3,Single,Utility,11367,1,Good,,0
M,98,696,10,1,Married,Van,57521,6,Good,,1
M,86,755,37,0,Married,Truck,10278,6,Very Good,,1
M,119,746,5,0,Single,Utility,14342,4,Very Good,,1
F,128,794,25,1,Married,Car,24500,5,Very Good,,0
M,459,687,2,3,Single,Car,10016,4,Good,,1
F,101,779,12,0,Married,Car,12803,2,Very Good,,1
M,245,627,1,2,Married,Car,21050,4,Fair,,1
M,396,631,2,3,Married,Car,29946,8,Fair,,0
M,92,786,31,0,Married,Utility,12706,8,Very Good,,1
M,116,676,34,1,Married,Van,6311,4,Good,,0
M,217,596,4,0,Married,Car,13120,3,Fair,,1
M,300,668,2,3,Single,Car,84148,3,Fair,,1
M,271,676,1,2,Married,Car,11071,6,Good,,1
M,97,783,18,1,Married,Van,5695,3,Very Good,,1
F,137,779,21,0,Married,Car,8294,5,Very Good,,0
M,343,431,2,3,Married,Car,10973,2,Very Poor,,1
M,93,659,7,3,Married,Truck,67776,3,Fair,,1
M,459,681,2,1,Married,Car,14163,5,Good,,1
F,489,599,7,3,Single,Truck,13610,4,Fair,,0
F,128,799,7,0,Married,Car,21135,1,Very Good,,1
F,108,670,28,0,Married,Car,13054,4,Good,,1
M,253,827,2,2,Married,Car,10002,8,Exceptional,,1
F,125,734,22,1,Single,Car,7579,4,Good,,1
M,447,622,3,3,Single,Car,11347,6,Fair,,0
M,111,394,3,2,Single,Car,14369,8,Very Poor,,1
F,155,698,23,0,Married,Car,9101,3,Good,,0
M,412,636,4,0,Married,Car,14238,2,Fair,,1
M,619,681,38,1,Married,Van,5319,7,Good,,0
M,420,675,5,2,Married,Car,14924,2,Good,,1
F,520,723,38,1,Married,Truck,8929,2,Good,,0
M,194,670,4,2,Single,Car,10688,3,Good,,1
M,171,701,3,2,Single,Car,12188,8,Good,,0
