index,"California Hospital Risk-Adjusted Mortality Rates (RAMR), Total Deaths and Cases, and Quality Ratings for Inpatient Mortality Indicators, 2010",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,COUNTY,HOSPITAL,COMMENT LETTERS,"ESOPHAGEAL RESECTION
(Risk-Adjusted Mortality Rate)","ESOPHAGEAL RESECTION
(# of Deaths)","ESOPHAGEAL RESECTION
(# of Cases)","ESOPHAGEAL RESECTION
(Outlier Ratings)","PANCREATIC RESECTION
(Risk-Adjusted Mortality Rate)","PANCREATIC RESECTION
(# of Deaths)","PANCREATIC RESECTION
(# of Cases)","PANCREATIC RESECTION
(Outlier Ratings)","AAA REPAIR
(Risk-Adjusted Mortality Rate)","AAA REPAIR
(# of Deaths)","AAA REPAIR
(# of Cases)",AAA REPAIR    (Outlier Ratings),"CRANIOTOMY
(Risk-Adjusted Mortality Rate)","CRANIOTOMY
(# of Deaths)","CRANIOTOMY
(# of Cases)",CRANIOTOMY (Outlier Ratings),"ACUTE MYOCARDIAL INFARCTION
(Risk-Adjusted Mortality Rate)","ACUTE MYOCARDIAL INFARCTION
(# of Deaths)","ACUTE MYOCARDIAL INFARCTION
(# of Cases)","ACUTE MYOCARDIAL INFARCTION
(Outlier Ratings)","HEART FAILURE
(Risk-Adjusted Mortality Rate)","HEART FAILURE
(# of Deaths)","HEART FAILURE
(# of Cases)","HEART FAILURE
(Outlier Ratings)","ACUTE STROKE
(Risk-Adjusted Mortality Rate)","ACUTE STROKE
(# of Deaths)","ACUTE STROKE
(# of Cases)",ACUTE STROKE (Outlier Ratings),GI HEMORRHAGE (Risk-Adjusted Mortality Rate),"GI HEMORRHAGE
(# of Deaths)","GI HEMORRHAGE
(# of Cases)",GI HEMORRHAGE (Outlier Ratings),"HIP FRACTURE
(Risk-Adjusted Mortality Rate)","HIP FRACTURE
(# of Deaths)","HIP FRACTURE
(# of Cases)",HIP FRACTURE (Outlier Ratings),"PNEUMONIA
(Risk-Adjusted Mortality Rate)","PNEUMONIA
(# of Deaths)","PNEUMONIA
(# of Cases)",PNEUMONIA (Outlier Ratings),"PCI
(Risk-Adjusted Mortality Rate)","PCI
(# of Deaths)","PCI
(# of Cases)","PCI
(Outlier Ratings)","CAROTID ENDARTERECTOMY
(Risk-Adjusted Mortality Rate)","CAROTID ENDARTERECTOMY
(# of Deaths)","CAROTID ENDARTERECTOMY
(# of Cases)","CAROTID ENDARTERECTOMY
(Outlier Ratings)"
12,,"STATEWIDE (state mortality rate = observed rate, not risk-adjusted)",,3.9,16,410,,4.5,33,728,,1.4,36,2518,,6.6,953,14380,,6.8,3099,45895,,3,2640,87061,,10,5250,52480,,2.2,1063,48089,,2.5,584,23740,,4.1,3108,75063,,2,965,48017,,0.5,33,6962,
13,Alameda,Alameda County Medical Center – Highland Campus,,.,.,.,,.,.,.,,.,.,.,,9.8,2,32,,12.7,3,29,,2.7,3,339,,11.8,12,152,,3.4,2,141,,0,0,13,,5.7,4,212,,.,.,.,,0,0,3,
14,Alameda,Alameda Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,5.3,6,56,,2.5,5,162,,17.1,9,53,,5.3,3,70,,2.2,1,43,,1.9,4,150,,.,.,.,,0,0,3,
15,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,,.,.,.,,.,.,.,,.,.,.,,5.7,4,48,,6,8,106,,2.6,8,286,,7.8,23,251,,0.9,2,196,,1.5,2,104,,3.3,8,245,,2.6,5,95,,6.9,1,13,
16,Alameda,Alta Bates Summit Medical Center – Summit Campus – Hawthorne,,0,0,3,,0,0,3,,0,0,6,,41.7,1,5,,6.9,24,525,,2,10,524,,9.1,21,290,,2.2,7,297,,3.5,4,103,,2.4,10,371,,2.9,19,792,,7.2,1,21,
17,Alameda,Eden Medical Center,,.,.,.,,.,.,.,,.,.,.,,2.4,6,117,Better,4,5,49,,2.8,9,223,,8.3,63,384,Better,1.6,3,159,,0,0,66,,3.4,8,195,,.,.,.,,0,0,7,
18,Alameda,Kaiser Foundation Hospital – Hayward,,.,.,.,,12.2,1,10,,0,0,16,,.,.,.,,4.6,10,153,,3.4,16,454,,8,18,276,,3.1,10,332,,4.5,6,130,,4,17,378,,0,0,6,,0,0,38,
19,Alameda,Kaiser Foundation Hospital – Oakland Campus,,.,.,.,,0,0,10,,0,0,16,,0,0,5,,3.8,6,106,,2.2,11,590,,9.3,22,348,,4.2,8,271,,5.4,5,124,,4,14,377,,.,.,.,,0,0,32,
20,Alameda,Saint Rose Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,12.5,16,144,Worse,2.2,4,273,,2.9,1,76,,4.4,5,154,,0,0,30,,0,0,132,,3.4,7,113,,0,0,3,
21,Alameda,San Leandro Hospital,,.,.,.,,.,.,.,,0,0,20,,.,.,.,,8.6,8,34,,2.5,6,271,,6.1,2,55,,0.9,1,122,,2.3,1,41,,4,4,110,,.,.,.,,0,0,23,
22,Alameda,Valleycare Medical Center,,.,.,.,,.,.,.,,0,0,5,,.,.,.,,11.5,16,150,Worse,3.5,10,216,,14.5,12,88,,2.1,3,107,,4.2,2,50,,4.8,14,234,,2.8,4,125,,0,0,31,
23,Alameda,Washington Hospital – Fremont,,.,.,.,,.,.,.,,100,1,5,Worse,8.3,8,57,,9.2,21,281,,4.5,16,381,,13.4,37,279,Worse,3.2,9,249,,0,0,100,,6.2,25,375,Worse,2.3,11,357,,0,0,16,
24,Amador,Sutter Amador Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,6.6,1,10,,4.8,4,80,,7.8,3,54,,2.5,1,43,,2.5,1,52,,2.2,2,109,,.,.,.,,.,.,.,
25,Butte,Biggs Gridley Memorial Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,10.1,1,19,,55.9,2,6,,0,0,17,,0,0,14,,9.2,3,88,,.,.,.,,.,.,.,
26,Butte,Enloe Medical Center – Esplanade Campus,,.,.,.,,.,.,.,,0,0,19,,13.3,6,43,,8.1,23,309,,3.5,11,239,,14.6,31,228,Worse,2.3,8,275,,3.9,7,177,,5,19,460,,2,7,394,,0,0,85,
27,Butte,Feather River Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,1.2,1,42,Better,3.3,6,114,,6.6,4,77,,1.2,2,101,,0.8,1,63,,1.9,4,166,,.,.,.,,0,0,18,
28,Butte,Oroville Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,4.9,5,48,,1.1,4,294,Better,6.5,7,117,,1.1,2,164,,1.7,2,64,,1.8,7,417,Better,.,.,.,,0,0,11,
29,Calaveras,Mark Twain Saint Joseph’s Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,25.6,3,9,,0,0,46,,20.9,7,42,Worse,3.7,1,32,,0,0,26,,2.2,1,79,,.,.,.,,.,.,.,
30,Colusa,Colusa Regional Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,5,,4.4,1,28,,33.9,2,8,,6.4,1,26,,.,.,.,,6.5,3,60,,.,.,.,,.,.,.,
31,Contra Costa,Contra Costa Regional Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,8.8,2,20,,1.3,2,282,,11,2,69,,0,0,70,,0,0,23,,4.6,6,234,,.,.,.,,.,.,.,
32,Contra Costa,Doctors Medical Center – San Pablo,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,6.8,12,182,,3.3,12,462,,8.6,11,131,,4.1,5,132,,4.5,2,49,,6.6,13,200,,5.5,6,158,Worse,0,0,4,
33,Contra Costa,John Muir Medical Center – Concord Campus,,8.8,1,9,,.,.,.,,0,0,44,,.,.,.,,7.1,19,285,,2.4,12,386,,18.1,23,138,Worse,3,7,178,,1.4,1,83,,6.2,16,225,,0.9,3,238,,0,0,45,
34,Contra Costa,John Muir Medical Center – Walnut Creek Campus,,.,.,.,,0,0,3,,.,.,.,,2.7,6,114,Better,5.2,17,205,,3.4,17,327,,10,64,374,,0.3,1,249,Better,2.7,7,198,,3.2,12,293,,1.6,4,172,,0,0,45,
35,Contra Costa,Kaiser Foundation Hospital – Antioch,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,5.8,8,85,,3.6,10,253,,8.2,12,141,,1.8,2,129,,3,2,66,,3.5,7,230,,.,.,.,,.,.,.,
36,Contra Costa,Kaiser Foundation Hospital – Walnut Creek,,0,0,9,,0,0,13,,2.5,1,38,,.,.,.,,6.5,9,166,,2.9,13,427,,12.8,25,251,,1.3,3,251,,4.5,7,210,,5.9,17,344,,1.7,3,154,,2.8,1,48,
37,Contra Costa,San Ramon Regional Medical Center,,.,.,.,,.,.,.,,0,0,3,,.,.,.,,9.7,5,53,,3.5,3,91,,14.9,7,58,,5.5,3,74,,8.2,3,44,,6.1,7,139,,3.6,2,50,,0,0,10,
38,Contra Costa,Sutter Delta Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,4.3,8,152,,1.3,5,294,Better,11.9,9,97,,0.6,1,148,,0,0,56,,2.2,7,259,,0.6,1,84,,0,0,10,
39,Del Norte,Sutter Coast Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,20,,7,7,75,,17.7,8,52,,3.2,2,48,,.,.,.,,2.6,4,117,,.,.,.,,.,.,.,
40,El Dorado,Barton Memorial Hospital,View Comment Letter,.,.,.,,.,.,.,,.,.,.,,.,.,.,,55.4,1,3,,2.6,1,38,,42.8,3,19,,1.9,1,39,,9,1,21,,4.9,2,86,,.,.,.,,.,.,.,
41,El Dorado,Marshall Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,9.9,4,27,,3.6,7,142,,6.5,5,85,,2.1,3,104,,0.8,1,59,,1.5,4,189,Better,.,.,.,,0,0,7,
42,Fresno,Clovis Community Medical Center,,.,.,.,,0,0,6,,.,.,.,,.,.,.,,6.5,4,88,,4.5,5,131,,10.4,3,87,,2.3,2,116,,3.4,2,82,,5.2,13,292,,0,0,57,,.,.,.,
43,Fresno,Coalinga Regional Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,4,,5.7,1,28,,0,0,5,,0,0,6,,.,.,.,,0,0,155,,.,.,.,,.,.,.,
44,Fresno,Community Regional Medical Center – Fresno,,.,.,.,,18,1,8,,0,0,11,,7.6,22,257,,9.2,50,700,Worse,3.6,20,803,,10.9,123,798,,2.3,12,533,,3,5,141,,4.3,19,607,,4.7,27,580,Worse,1.3,1,30,
45,Fresno,Fresno Heart and Surgical Hospital,,0,0,3,,25.3,2,7,,0,0,18,,.,.,.,,4.5,2,80,,8.8,9,140,Worse,0,0,4,,0,0,16,,.,.,.,,0,0,11,,3.8,4,505,,0,0,125,
46,Fresno,Kaiser Foundation Hospital – Fresno,,.,.,.,,.,.,.,,0,0,6,,0,0,3,,5.9,9,108,,2.6,7,265,,10.5,18,193,,1,1,115,,4.5,3,107,,4,12,318,,0,0,3,,0,0,22,
47,Fresno,Saint Agnes Medical Center,,.,.,.,,0,0,3,,0,0,19,,0,0,13,,6.3,32,530,,2.9,29,959,,11.6,36,455,,2.2,16,577,,4.8,11,284,Worse,6.6,45,792,Worse,2.3,13,641,,1.7,1,53,
48,Fresno,Sierra Kings District Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,23.1,1,4,,0,0,34,,30.3,2,7,,24.3,1,9,,.,.,.,,15.6,5,67,Worse,.,.,.,,.,.,.,
49,Glenn,Glenn Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,10,,0,0,4,,0,0,7,,.,.,.,,0,0,39,,.,.,.,,.,.,.,
50,Humboldt,Jerold Phelps Community Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,8,,.,.,.,,.,.,.,
51,Humboldt,Mad River Community Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,12.9,2,7,,5.9,2,30,,43.6,4,36,Worse,8,2,41,,7.7,1,13,,5.3,5,118,,.,.,.,,0,0,3,
52,Humboldt,Redwood Memorial Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,16.2,2,8,,6.7,3,41,,6.2,1,22,,7,1,26,,0,0,11,,1.7,1,82,,.,.,.,,.,.,.,
53,Humboldt,Saint Joseph Hospital – Eureka,,.,.,.,,.,.,.,,0,0,16,,5.4,2,21,,12.2,11,135,,3.2,4,109,,12.6,13,111,,1.7,2,100,,2.2,2,91,,2.5,4,136,,3.4,5,168,,0,0,102,
54,Imperial,El Centro Regional Medical Center,,.,.,.,,.,.,.,,.,.,.,,0,0,8,,6.8,4,50,,2.6,5,207,,14,13,126,,0,0,151,,6.6,4,75,,6.1,14,203,,.,.,.,,.,.,.,
55,Imperial,Pioneers Memorial Hospital,,.,.,.,,.,.,.,,.,.,.,,6.9,1,9,,1.9,1,35,,1.6,2,157,,0,0,83,Better,2.3,3,133,,0,0,28,,5,10,220,,.,.,.,,.,.,.,
56,Inyo,Northern Inyo Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,40,2,4,,10.1,2,25,,31.3,1,7,,0,0,18,,5.7,1,18,,4,1,39,,.,.,.,,.,.,.,
57,Inyo,Southern Inyo Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,4,,.,.,.,,.,.,.,
58,Kern,Bakersfield Heart Hospital,,.,.,.,,.,.,.,,4.6,1,10,,.,.,.,,5.2,17,392,,1.7,7,336,,4.7,1,45,,1.4,2,79,,.,.,.,,1.2,2,151,Better,0.8,4,500,Better,0,0,7,
59,Kern,Bakersfield Memorial Hospital,,.,.,.,,.,.,.,,0,0,31,,7.8,7,68,,6.1,21,294,,2.1,8,420,,7.6,20,242,,2.7,8,231,,1.5,2,119,,4.4,18,407,,2.3,10,376,,0,0,82,
60,Kern,Delano Regional Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,18.6,3,10,,5.8,6,127,,15.7,2,20,,13,3,40,Worse,14.2,1,18,,9.9,16,140,Worse,.,.,.,,.,.,.,
61,Kern,Good Samaritan Hospital – Bakersfield,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,37,,.,.,.,,0,0,11,,.,.,.,,0,0,81,,.,.,.,,.,.,.,
62,Kern,Kern Medical Center,,.,.,.,,.,.,.,,.,.,.,,10.8,3,29,,4.5,1,21,,3.7,2,103,,9.8,5,64,,0,0,85,,0,0,10,,10.4,6,117,,.,.,.,,0,0,4,
63,Kern,Kern Valley Healthcare District,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,6,,0,0,48,,0,0,10,,0,0,13,,.,.,.,,1.6,1,124,,.,.,.,,.,.,.,
64,Kern,Mercy Hospital – Bakersfield,,.,.,.,,.,.,.,,0,0,17,,2.1,1,28,,12.5,9,29,,6.4,11,171,Worse,7.3,9,134,,2.6,6,202,,0,0,100,,4.6,18,493,,.,.,.,,0,0,34,
65,Kern,Ridgecrest Regional Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,22.9,2,5,,4.9,3,76,,16,2,23,,11.9,4,59,Worse,.,.,.,,10.9,8,139,Worse,.,.,.,,.,.,.,
66,Kern,San Joaquin Community Hospital,,.,.,.,,.,.,.,,.,.,.,,9.1,22,112,,7.5,17,246,,2,10,578,,9.3,62,579,,2,6,326,,0.8,1,155,,3.3,11,461,,2,6,367,,0,0,37,
67,Kern,Tehachapi Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,3,,.,.,.,,.,.,.,,.,.,.,,0,0,39,,.,.,.,,.,.,.,
68,Kings,Adventist Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,6.4,2,39,,0,0,7,,0,0,19,,0,0,4,,11.4,4,53,,.,.,.,,.,.,.,
69,Kings,Central Valley General Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,3,,0,0,61,,10.5,1,26,,8.7,1,21,,.,.,.,,7.1,5,107,,.,.,.,,.,.,.,
70,Kings,Corcoran District Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,20,,.,.,.,,.,.,.,
71,Kings,Hanford Community Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,13.6,10,46,Worse,3.5,9,298,,19.7,10,73,Worse,3,4,169,,7.6,4,66,,8.3,19,361,Worse,.,.,.,,.,.,.,
72,Lake,Saint Helena Hospital – Clearlake,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,36,,32.7,2,9,,3.7,1,41,,.,.,.,,3,2,130,,.,.,.,,.,.,.,
73,Lake,Sutter Lakeside Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,5,,0,0,33,,4.1,1,30,,0,0,31,,1.8,1,31,,0,0,79,,.,.,.,,.,.,.,
74,Lassen,Banner Lassen Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,5.9,1,23,,19.5,3,15,,0,0,10,,0,0,3,,28.3,6,65,Worse,.,.,.,,.,.,.,
75,Los Angeles,Alhambra Hospital,,.,.,.,,.,.,.,,.,.,.,,55.9,1,6,,7.9,9,47,,1.7,3,141,,7.4,6,82,,0.8,1,90,,2,1,34,,1.7,5,194,Better,.,.,.,,.,.,.,
76,Los Angeles,Antelope Valley Hospital,,.,.,.,,.,.,.,,6.2,1,8,,12,11,72,,9.3,33,393,,5.1,20,524,Worse,10.4,29,345,,3.7,12,319,,4.4,4,153,,7.4,43,620,Worse,2.2,7,298,,0,0,39,
77,Los Angeles,Bellflower Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,48.9,2,7,,0,0,59,,0,0,8,,4.1,2,55,,0,0,8,,1.9,2,102,,.,.,.,,.,.,.,
78,Los Angeles,Beverly Hospital,,.,.,.,,.,.,.,,.,.,.,,6.3,1,8,,6.4,12,158,,1.8,7,397,,9,11,130,,3.1,5,130,,2,1,61,,3.2,11,282,,1.7,3,121,,0,0,14,
79,Los Angeles,Brotman Medical Center,,.,.,.,,.,.,.,,8.2,1,5,,.,.,.,,7.5,4,51,,1.1,3,274,,8.6,4,83,,0,0,113,,3,1,38,,4.3,13,216,,1.9,1,35,,0,0,9,
80,Los Angeles,California Hospital Medical Center – Los Angeles,,.,.,.,,0,0,3,,.,.,.,,21.8,7,25,Worse,8.7,6,41,,1.4,4,475,,11.3,23,171,,2.7,5,195,,4.8,1,27,,6.2,10,191,,.,.,.,,.,.,.,
81,Los Angeles,Catalina Island Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,3,,.,.,.,,.,.,.,
82,Los Angeles,Cedars Sinai Medical Center,View Comment Letter,9,2,14,,3.4,1,31,,0,0,46,,3.3,20,603,Better,8.6,39,467,,3.6,51,1297,,7.6,67,656,Better,2.3,11,501,,1.6,3,213,,3.7,31,825,,2.6,21,688,,1.3,1,82,
83,Los Angeles,Centinela Hospital Medical Center,,.,.,.,,.,.,.,,0,0,6,,9.1,13,45,,4.3,14,252,,1.1,12,1187,Better,5.6,28,406,Better,1.5,7,369,,0.6,1,73,,1.2,5,332,Better,0,0,194,,2.6,1,22,
84,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,,.,.,.,,.,.,.,,0,0,6,,3.3,1,10,,7.7,17,359,,1.3,5,375,Better,8.9,11,148,,2.8,4,153,,0,0,70,,3.5,9,239,,3.5,9,303,,0,0,53,
85,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,,.,.,.,,.,.,.,,0,0,3,,3.9,2,54,,3.4,4,58,,1.4,5,364,,10.2,21,184,,2.6,5,183,,1.8,1,70,,4.1,8,204,,.,.,.,,0,0,23,
86,Los Angeles,City of Hope Helford Clinical Research Hospital,,0,0,9,,0,0,14,,.,.,.,,0,0,106,Better,.,.,.,,0,0,3,,0,0,7,,8.5,2,26,,12.9,1,3,,8.1,7,102,,.,.,.,,.,.,.,
87,Los Angeles,Coast Plaza Doctors Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,6.6,2,20,,1.2,1,106,,7.8,3,28,,5.7,4,48,,0,0,8,,7.7,11,166,,.,.,.,,.,.,.,
88,Los Angeles,Community Hospital of Long Beach,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,4.1,3,39,,12.2,10,79,Worse,11.2,4,48,,2.1,1,61,,0,0,30,,4.4,10,142,,.,.,.,,.,.,.,
89,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,10,,1.6,1,115,,0,0,37,,0,0,57,,.,.,.,,3.5,2,101,,.,.,.,,.,.,.,
90,Los Angeles,Downey Regional Medical Center,,.,.,.,,.,.,.,,0,0,7,,9.6,4,59,,6.4,17,224,,3.2,13,515,,8.2,15,197,,2.1,5,267,,0,0,127,,3.7,11,298,,2.3,4,177,,0,0,9,
91,Los Angeles,East Los Angeles Doctors Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,19.6,7,24,Worse,0.7,1,123,,8.3,3,44,,0,0,48,,0,0,8,,3,5,135,,.,.,.,,.,.,.,
92,Los Angeles,East Valley Hospital Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,16,,2.8,2,50,,0,0,12,,2.7,1,25,,0,0,4,,1,2,121,Better,.,.,.,,.,.,.,
93,Los Angeles,Encino Hospital Medical Center,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,2.1,1,17,,0,0,56,Better,0,0,18,,0.7,1,58,,0,0,27,,0,0,33,,.,.,.,,.,.,.,
94,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,,.,.,.,,.,.,.,,.,.,.,,0,0,12,,0,0,32,,3.7,5,144,,6,5,92,,0,0,123,,0,0,52,,7.7,12,158,Worse,.,.,.,,.,.,.,
95,Los Angeles,Garfield Medical Center,,.,.,.,,.,.,.,,0,0,7,,4.8,3,52,,5.5,11,209,,3.5,19,450,,4.7,11,248,Better,0.6,1,181,,0,0,64,,3.6,18,357,,1.8,7,201,,0,0,21,
96,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,,0,0,3,,20.2,1,5,,0,0,15,,5.9,14,127,,5.1,22,400,,2.5,22,537,,8.8,48,403,,0.4,1,259,Better,1.6,3,149,,3.4,21,400,,1.9,15,673,,0,0,22,
97,Los Angeles,Glendale Memorial Hospital and Medical Center,,.,.,.,,.,.,.,,0,0,14,,5.1,2,23,,6.7,17,275,,2.4,14,521,,5.2,10,175,Better,2.9,6,201,,3.2,2,90,,3.2,13,299,,0.9,3,300,,0,0,28,
98,Los Angeles,Good Samaritan Hospital – Los Angeles,,.,.,.,,0,0,4,,4.4,1,11,,9.7,5,45,,10.5,30,296,Worse,4,23,655,,9.3,17,172,,2,4,186,,2.2,2,84,,4.7,14,243,,2.3,11,391,,0,0,11,
99,Los Angeles,Greater El Monte Community Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,4.5,2,18,,1.9,1,66,,4.5,1,31,,3.2,2,43,,.,.,.,,1.8,2,89,,.,.,.,,.,.,.,
100,Los Angeles,Henry Mayo Newhall Memorial Hospital,,.,.,.,,.,.,.,,.,.,.,,12.3,4,31,,6.3,11,82,,2.7,10,278,,13.9,26,208,,1.3,3,191,,0.9,1,89,,2.6,8,318,,.,.,.,,0,0,11,
101,Los Angeles,Hollywood Community Hospital,,.,.,.,,.,.,.,,.,.,.,,.,.,.,,0,0,21,,11.2,3,61,,0,0,10,,2.1,1,49,,20.4,1,6,,5.6,5,137,,.,.,.,,.,.,.,
102,Los Angeles,Hollywood Presbyterian Medical Center,,.,.,.,,.,.,.,,0,0,3,,6.4,2,14,,9.5,13,86,,2.6,12,400,,9,15,134,,2.5,5,182,,5,4,65,,3.4,11,251,,.,.,.,,0,0,14,
